fiscal_year_start	group_level	salary_min	salary_max	max_performance_award
	GC 4	$112,800	$132,700	13.60%
	GC 5	$129,800	$152,600	13.60%
	GC 6	$149,200	$175,500	23.40%
	GC 7	$171,500	$201,700	23.40%
	GC 8	$197,000	$231,700	23.40%
	GC 9	$226,600	$266,500	23.40%
	GC 10	$260,400	$306,300	28.40%
	GCQ 1	$81,700	$96,100
	GCQ 2	$93,900	$110,400
	GCQ 3	$108,300	$127,400
	GCQ 4	$124,600	$146,500
	GCQ 5	$143,100	$168,300
	GCQ 6	$175,100	$205,900
	GCQ 7	$201,400	$236,900
	GCQ 8	$231,300	$272,100
	GCQ 9	$265,900	$312,800
	GCQ 10	$313,600	$368,900
2021	CEO 1	$142,200	$167,200	15.00%
	CEO 2	$170,300	$200,300	15.00%
	CEO 3	$204,200	$240,200	15.00%
	CEO 4	$244,800	$287,900	26.00%
	CEO 5	$293,600	$345,400	26.00%
	CEO 6	$352,400	$414,500	28.00%
	CEO 7	$422,600	$497,100	28.00%
	CEO 8	$506,800	$596,200	33.00%
2020	CEO 1	$140,000	$164,700	15.00%
	CEO 2	$167,800	$197,300	15.00%
	CEO 3	$201,200	$236,600	15.00%
	CEO 4	$241,100	$283,600	26.00%
	CEO 5	$289,200	$340,200	26.00%
	CEO 6	$347,100	$408,300	28.00%
	CEO 7	$416,300	$489,700	28.00%
	CEO 8	$499,300	$587,300	33.00%
2019	CEO 1	$137,900	$162,200	15.00%
	CEO 2	$165,200	$194,300	15.00%
	CEO 3	$198,200	$233,100	15.00%
	CEO 4	$237,500	$279,400	26.00%
	CEO 5	$284,900	$335,100	26.00%
	CEO 6	$341,900	$402,200	28.00%
	CEO 7	$410,100	$482,400	28.00%
	CEO 8	$491,900	$578,600	33.00%
2018	CEO 1	$134,900	$158,700	15.00%
	CEO 2	$161,600	$190,100	15.00%
	CEO 3	$193,800	$228,000	15.00%
	CEO 4	$232,400	$273,300	26.00%
	CEO 5	$278,700	$327,800	26.00%
	CEO 6	$334,500	$393,500	28.00%
	CEO 7	$401,200	$472,000	28.00%
	CEO 8	$481,200	$566,100	33.00%
2017	CEO 1	$131,200	$154,300	15.00%
	CEO 2	$157,200	$184,900	15.00%
	CEO 3	$188,500	$221,700	15.00%
	CEO 4	$226,000	$265,800	26.00%
	CEO 5	$271,000	$318,800	26.00%
	CEO 6	$325,300	$382,700	28.00%
	CEO 7	$390,300	$459,100	28.00%
	CEO 8	$468,100	$550,600	33.00%
2016	CEO 1	$129,500	$152,300	15.00%
	CEO 2	$155,300	$182,600	15.00%
	CEO 3	$186,100	$218,900	15.00%
	CEO 4	$223,200	$262,500	26.00%
	CEO 5	$267,600	$314,800	26.00%
	CEO 6	$321,300	$377,900	28.00%
	CEO 7	$385,400	$453,400	28.00%
	CEO 8	$462,300	$543,800	33.00%
2015	CEO 1	$126,600	$148,900	15.00%
	CEO 2	$151,800	$178,500	15.00%
	CEO 3	$181,900	$214,000	15.00%
	CEO 4	$218,200	$256,600	26.00%
	CEO 5	$261,700	$307,800	26.00%
	CEO 6	$314,100	$369,500	28.00%
	CEO 7	$376,900	$443,300	28.00%
	CEO 8	$452,000	$531,700	33.00%
2014	CEO 1	$125,000	$147,000	15.00%
	CEO 2	$149,800	$176,200	15.00%
	CEO 3	$179,700	$211,300	15.00%
	CEO 4	$215,400	$253,400	26.00%
	CEO 5	$258,400	$304,000	26.00%
	CEO 6	$310,200	$364,900	28.00%
	CEO 7	$372,200	$437,800	28.00%
	CEO 8	$446,400	$525,100	33.00%
2013	EX 1	$105,700	$124,300	15.00%
	EX 2	$118,500	$139,300	15.00%
	EX 3	$132,600	$155,900	15.00%
	EX 4	$152,000	$178,800	26.00%
	EX 5	$170,300	$200,300	26.00%
	GX	$190,500	$224,100	26.00%
	DM 1	$190,500	$224,100	26.00%
	DM 2	$219,100	$257,700	33.00%
	DM 3	$245,400	$288,600	33.00%
	DM 4	$274,700	$323,100	39.00%
	GC-1	$73,200	$86,100	13.60%
	GC-2	$84,000	$98,800	13.60%
	GC-3	$97,000	$114,100	13.60%
	GC-4	$111,400	$131,000	13.60%
	GC-5	$128,100	$150,700	13.60%
	GC-6	$147,400	$173,300	23.40%
	GC-7	$169,400	$199,200	23.40%
	GC-8	$194,500	$228,800	23.40%
	GC-9	$223,800	$263,200	23.40%
	GC-10	$257,200	$302,500	28.40%
	GCQ-1	$80,700	$94,900
	GCQ-2	$92,700	$109,000
	GCQ-3	$107,000	$125,800
	GCQ-4	$123,000	$144,600
	GCQ-5	$141,300	$166,200
	GCQ-6	$172,900	$203,300
	GCQ-7	$198,900	$233,900
	GCQ-8	$228,400	$268,700
	GCQ-9	$262,600	$308,900
	GCQ-10	$309,700	$364,300
	CEO 1	$123,400	$145,100	15.00%
	CEO 2	$147,900	$174,000	15.00%
	CEO 3	$177,400	$208,600	15.00%
	CEO 4	$212,700	$250,200	26.00%
	CEO 5	$255,200	$300,200	26.00%
	CEO 6	$306,300	$360,300	28.00%
	CEO 7	$367,500	$432,300	28.00%
	CEO 8	$440,900	$518,600	33.00%
2012	EX 1	$104,600	$123,000	15.00%
	EX 2	$117,300	$137,900	15.00%
	EX 3	$131,200	$154,300	15.00%
	EX 4	$150,500	$177,000	26.00%
	EX 5	$168,600	$198,300	26.00%
	GX	$188,600	$221,800	26.00%
	DM 1	$188,600	$221,800	26.00%
	DM 2	$216,900	$255,100	33.00%
	DM 3	$242,900	$285,700	33.00%
	DM 4	$272,000	$319,900	39.00%
	GC-1	$72,500	$85,200	13.60%
	GC-2	$83,200	$97,800	13.60%
	GC-3	$96,000	$112,900	13.60%
	GC-4	$110,300	$129,700	13.60%
	GC-5	$126,900	$149,200	13.60%
	GC-6	$145,800	$171,500	23.40%
	GC-7	$167,700	$197,200	23.40%
	GC-8	$192,600	$226,500	23.40%
	GC-9	$221,500	$260,500	23.40%
	GC-10	$254,600	$299,500	28.40%
	GCQ-1	$79,900	$93,900
	GCQ-2	$91,800	$107,900
	GCQ-3	$105,900	$124,500
	GCQ-4	$121,700	$143,100
	GCQ-5	$139,900	$164,500
	GCQ-6	$171,100	$201,200
	GCQ-7	$196,800	$231,500
	GCQ-8	$226,100	$266,000
	GCQ-9	$260,000	$305,800
	GCQ-10	$306,600	$360,600
	CEO 1	$122,100	$143,600	15.00%
	CEO 2	$146,400	$172,200	15.00%
	CEO 3	$175,600	$206,500	15.00%
	CEO 4	$210,600	$247,700	26.00%
	CEO 5	$252,700	$297,200	26.00%
	CEO 6	$303,200	$356,700	28.00%
	CEO 7	$363,800	$428,000	28.00%
	CEO 8	$436,400	$513,400	33.00%
2011	EX 1	$103,000	$121,100	15.00%
	EX 2	$115,500	$135,800	15.00%
	EX 3	$129,200	$152,000	15.00%
	EX 4	$148,200	$174,300	26.00%
	EX 5	$166,100	$195,300	26.00%
	GX	$185,800	$218,500	26.00%
	DM 1	$185,800	$218,500	26.00%
	DM 2	$213,700	$251,300	33.00%
	DM 3	$239,200	$281,400	33.00%
	DM 4	$267,900	$315,100	39.00%
	GC-1	$71,400	$83,900	13.60%
	GC-2	$81,900	$96,300	13.60%
	GC-3	$94,600	$111,200	13.60%
	GC-4	$108,600	$127,700	13.60%
	GC-5	$124,900	$146,900	13.60%
	GC-6	$143,600	$168,900	23.40%
	GC-7	$165,100	$194,200	23.40%
	GC-8	$189,700	$223,100	23.40%
	GC-9	$218,200	$256,600	23.40%
	GC-10	$250,800	$295,000	28.40%
	GCQ-1	$78,700	$92,500
	GCQ-2	$90,400	$106,300
	GCQ-3	$104,300	$122,600
	GCQ-4	$119,800	$140,900
	GCQ-5	$137,700	$162,000
	GCQ-6	$168,500	$198,200
	GCQ-7	$193,800	$228,000
	GCQ-8	$222,700	$262,000
	GCQ-9	$256,100	$301,200
	GCQ-10	$302,000	$355,200
	CEO 1	$120,200	$141,400	15.00%
	CEO 2	$144,200	$169,600	15.00%
	CEO 3	$172,900	$203,400	15.00%
	CEO 4	$207,400	$244,000	26.00%
	CEO 5	$248,900	$292,800	26.00%
	CEO 6	$298,700	$351,400	28.00%
	CEO 7	$358,400	$421,600	28.00%
	CEO 8	$430,000	$505,800	33.00%
2010	EX 1	$101,100	$119,000	15.00%
	EX 2	$113,300	$133,400	15.00%
	EX 3	$126,900	$149,300	15.00%
	EX 4	$145,600	$171,300	26.00%
	EX 5	$163,100	$191,900	26.00%
	GX	$182,400	$214,700	26.00%
	DM 1	$182,400	$214,700	26.00%
	DM 2	$209,800	$246,900	33.00%
	DM 3	$235,000	$276,500	33.00%
	DM 4	$263,100	$309,600	39.00%
	GC-1	$70,000	$82,400	13.60%
	GC-2	$80,400	$94,600	13.60%
	GC-3	$92,800	$109,200	13.60%
	GC-4	$106,600	$125,500	13.60%
	GC-5	$122,600	$144,300	13.60%
	GC-6	$141,000	$165,900	23.40%
	GC-7	$162,100	$190,800	23.40%
	GC-8	$186,300	$219,200	23.40%
	GC-9	$214,200	$252,100	23.40%
	GC-10	$246,400	$289,900	28.40%
	GCQ-1	$77,200	$90,900
	GCQ-2	$88,700	$104,400
	GCQ-3	$102,300	$120,400
	GCQ-4	$117,600	$138,400
	GCQ-5	$135,300	$159,200
	GCQ-6	$165,400	$194,700
	GCQ-7	$190,400	$224,000
	GCQ-8	$218,700	$257,400
	GCQ-9	$251,600	$296,000
	GCQ-10	$296,600	$349,000
	CEO 1	$118,000	$138,900	15.00%
	CEO 2	$141,600	$166,600	15.00%
	CEO 3	$169,900	$199,900	15.00%
	CEO 4	$203,800	$239,800	26.00%
	CEO 5	$244,500	$287,700	26.00%
	CEO 6	$293,500	$345,300	28.00%
	CEO 7	$352,100	$414,300	28.00%
	CEO 8	$422,500	$497,100	33.00%
